Identifier;Date;Time;Unit number;Antenna number;Transponder type;Transponder code;Weight;Input status;Output status;Event;GPS coordinates
1506118;21-03-2024;04:11:34;1;-;Trovan Unique;0007A3931B;-;00000000;00000000;-;""
1506119;21-03-2024;04:11:37;3;-;Trovan Unique;0007A3931B;-;00000000;00000000;-;""
1506120;21-03-2024;04:11:37;3;-;Trovan Unique;0007A3931B;-;00000000;00000000;-;""
1506121;21-03-2024;04:12:24;3;-;Trovan Unique;0007A3931B;-;00000000;00000000;-;""
1506122;21-03-2024;04:12:26;1;-;Trovan Unique;0007A3931B;-;00000000;00000000;-;""
1506123;21-03-2024;04:12:26;1;-;Trovan Unique;0007A3931B;-;00000000;00000000;-;""
1506124;21-03-2024;04:12:38;1;-;Trovan Unique;0007A3931B;-;00000000;00000000;-;""
1506125;21-03-2024;04:12:42;7;-;Trovan Unique;0007A3931B;-;00000000;00000000;-;""
1506126;21-03-2024;04:12:42;7;-;Trovan Unique;0007A3931B;-;00000000;00000000;-;""
1506127;21-03-2024;04:12:53;7;-;Trovan Unique;0007A3FDE2;-;00000000;00000000;-;""
1506128;21-03-2024;04:12:54;7;-;Trovan Unique;0007A3FDE2;-;00000000;00000000;-;""
1506129;21-03-2024;04:12:54;7;-;Trovan Unique;0007A3FDE2;-;00000000;00000000;-;""
1506130;21-03-2024;04:12:58;1;-;Trovan Unique;0007A3FDE2;-;00000000;00000000;-;""
1506131;21-03-2024;04:13:25;1;-;Trovan Unique;0007A3FDE2;-;00000000;00000000;-;""
1506132;21-03-2024;04:14:04;7;-;Trovan Unique;0007A3931B;-;00000000;00000000;-;""
1506133;21-03-2024;04:14:04;7;-;Trovan Unique;0007A3931B;-;00000000;00000000;-;""
1506134;21-03-2024;04:14:15;1;-;Trovan Unique;0007A3FDE2;-;00000000;00000000;-;""
1506135;21-03-2024;04:14:21;1;-;Trovan Unique;0007A3931B;-;00000000;00000000;-;""
1506136;21-03-2024;04:14:24;1;-;Trovan Unique;0007A3FDE2;-;00000000;00000000;-;""
1506137;21-03-2024;04:14:25;1;-;Trovan Unique;0007A3931B;-;00000000;00000000;-;""
1506138;21-03-2024;04:14:34;1;-;Trovan Unique;0007A3931B;-;00000000;00000000;-;""
1506139;21-03-2024;04:14:37;1;-;Trovan Unique;0007A3931B;-;00000000;00000000;-;""
1506140;21-03-2024;04:14:46;1;-;Trovan Unique;0007A3931B;-;00000000;00000000;-;""
1506141;21-03-2024;04:14:48;1;-;Trovan Unique;0007A3931B;-;00000000;00000000;-;""
1506142;21-03-2024;04:15:00;1;-;Trovan Unique;0007A3931B;-;00000000;00000000;-;""
1506143;21-03-2024;04:15:03;1;-;Trovan Unique;0007A3931B;-;00000000;00000000;-;""
1506144;21-03-2024;04:16:54;7;-;Trovan Unique;0007A3FDE2;-;00000000;00000000;-;""
1506145;21-03-2024;04:16:55;7;-;Trovan Unique;0007A3FDE2;-;00000000;00000000;-;""
1506146;21-03-2024;04:18:31;1;-;Trovan Unique;0007A3931B;-;00000000;00000000;-;""
1506147;21-03-2024;04:18:31;1;-;Trovan Unique;0007A3931B;-;00000000;00000000;-;""
1506148;21-03-2024;04:18:31;1;-;Trovan Unique;0007A3931B;-;00000000;00000000;-;""
